key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,practice_reward_seq,reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,block_break_started,practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,,,,,,,,,,,,,,,,1,1,,,380.2924,11,up,0.5012,380.8264,1.5,0.3,"[2,1,3]",0.594037176,stimuli/card_100_transparent.png,100,11,0,11,0,1,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,740,,,,,,,,,,,,,,,,,,1,1,,,382.6243,12,up,0.6017,383.2569,1.5,0.3,"[2,3,1]",0.180494113,stimuli/card_10_transparent.png,10,12,0,12,0,1,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,,,,,1,1,,,385.0565,13,left,0.7344,385.8236,0.5,0.3,"[2,3,1]",0.171126513,stimuli/card_100_transparent.png,100,13,0,13,0,1,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,,,,,,,,,,,,,,,,,1,1,,,386.6218,14,left,0.5356,387.1894,1.5,0.3,"[2,3,1]",0.001993491,stimuli/card_0_transparent.png,0,14,0,14,0,1,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.9877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[840],0,0,0,0,1,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,2,2,"[6,15]","[[1,3,2],[3,2,1]]",394.0099,0,left,0.5802,394.6244,0.5,0.3,"[1,3,2]",0.897214968,stimuli/card_100_transparent.png,100,0,0,0,0,1,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,2,2,,,395.4273,1,left,0.531,396.0001,1.5,0.3,"[1,3,2]",0.202001152,stimuli/card_100_transparent.png,100,1,0,1,0,1,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,2,2,,,397.8004,2,left,0.6845,398.5164,1,0.3,"[1,3,2]",0.047877588,stimuli/card_0_transparent.png,0,2,0,2,0,1,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,2,2,,,399.8161,3,left,0.7206,400.5666,1.5,0.3,"[1,3,2]",0.160070999,stimuli/card_10_transparent.png,10,3,0,3,0,1,,,,,,,,,,
,,,,65e254b55a2803a51872aef0,B,2024-08-16_15h49.24.216,Slot Machine Game,2023.1.3,Linux x86_64,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,2,2,,,402.3645,4,up,0.5698,402.9631,1.5,0.3,"[1,3,2]",0.925388344,stimuli/card_0_transparent.png,0,4,0,4,0,1,,,,,,,,,,
