key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.rt,key_resp_practice_slots.duration,key_resp_practice_slots.keys,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,blockNumber,blockAssignment,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290.1129,left,0.4182,,1.5,0.3,"[1,2,3]",0.04486979,stimuli/card_0_transparent.png,200,0,2,0,2,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.4227,left,0.4311,,1.5,0.3,"[1,2,3]",0.944525516,stimuli/card_100_transparent.png,300,100,3,0,3,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294.693,left,0.1116,,0.5,0.3,"[1,2,3]",0.255603494,stimuli/card_100_transparent.png,400,100,4,0,4,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.6784,left,0.338,,0.5,0.3,"[3,1,2]",0.880189288,stimuli/card_0_transparent.png,400,0,5,0,5,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296.8141,left,0.4073,,0.5,0.3,"[3,1,2]",0.622856067,stimuli/card_0_transparent.png,400,0,6,0,6,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298.0988,left,0.9789,,0.5,0.3,"[3,1,2]",0.252075983,stimuli/card_0_transparent.png,400,0,7,0,7,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299.8507,up,0.4278,0,1.5,0.3,"[3,1,2]",0.423099949,stimuli/card_100_transparent.png,500,100,8,0,8,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302.0936,up,0.5451,,1,0.3,"[3,1,2]",0.680817799,stimuli/card_100_transparent.png,600,100,9,0,9,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304.0543,up,0.2243,,1.5,0.3,"[3,1,2]",0.310484434,stimuli/card_100_transparent.png,700,100,10,0,10,0,1,,,,,
,,,,2,2023-10-27_13h11.35.047,SlotMachine_updated,2023.1.3,Win32,9.997700529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.1644,up,0.3321,,0.5,0.3,"[3,1,2]",0.95449491,stimuli/card_100_transparent.png,800,100,11,0,11,0,1,,,,,
