key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_presentationInterval,reward_presentation_time,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,main_trial_rt,main_trial_duration,main_reward_seq,reward_rand_val,main_reward_img,current_reward,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"[12,15]","[[2,1,3],[2,3,1]]",337.0626,0,,1,0.3,0,0,0,0,1,,,,,,,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,1,,,342.5693,1,left,1,0.3,1,0,1,0,1,1.1182,,"[2,1,3]",0.26879211,stimuli/card_10_transparent.png,10,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,1,1,,,345.5159,2,up,0.5,0.3,2,0,2,0,1,1.034,,"[2,1,3]",0.519081588,stimuli/card_100_transparent.png,100,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,1,1,,,347.8826,3,up,1,0.3,3,0,3,0,1,0.3992,,"[2,1,3]",0.511108448,stimuli/card_100_transparent.png,100,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,1,1,,,350.1157,4,up,1,0.3,4,0,4,0,1,0.754,,"[2,1,3]",0.398263869,stimuli/card_100_transparent.png,100,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,1,1,,,352.6992,5,up,1,0.3,5,0,5,0,1,1.3587,,"[2,1,3]",0.952490079,stimuli/card_100_transparent.png,100,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,1,1,,,355.8815,6,up,0.5,0.3,6,0,6,0,1,0.9245,,"[2,1,3]",0.96772853,stimuli/card_100_transparent.png,100,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,1,1,,,358.1158,7,up,1,0.3,7,0,7,0,1,0.1669,,"[2,1,3]",0.114617156,stimuli/card_10_transparent.png,10,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,1,1,,,360.1158,8,right,1,0.3,8,0,8,0,1,0.0099,,"[2,1,3]",0.025905795,stimuli/card_100_transparent.png,100,,,,,,,,,,
,,,,5998ffe005a0e30001f1ff54,A,2024-07-04_15h30.56.288,Slot Machine Game,2023.1.3,MacIntel,29.23976608,,,,,,,,,,,,,,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,1,1,,,361.9491,9,right,1,0.3,9,0,9,0,1,0.2976,,"[2,1,3]",0.253774174,stimuli/card_0_transparent.png,0,,,,,,,,,,
