key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,1,3,,,672.4733,9,up,0.572,673.067,1.5,0.3,"[3,1,2]",0.049013566,stimuli/card_0_transparent.png,0,9,0,9,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,,,,,,,,,,,,,,,,,,,1,3,,,674.8575,10,up,0.5842,675.4502,0.5,0.3,"[3,1,2]",0.575850331,stimuli/card_100_transparent.png,100,10,0,10,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,1,3,,,676.2536,11,up,0.5401,676.816,0.5,0.3,"[3,1,2]",0.357917967,stimuli/card_100_transparent.png,100,11,0,11,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,,,,,,,,,,,,,,,,,,,,,1,3,,,677.6041,12,up,0.6683,678.2828,1,0.3,"[3,1,2]",0.967536337,stimuli/card_100_transparent.png,100,12,0,12,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,,,,,,,,,,,,,,,,,,,,,1,3,,,679.5825,13,up,1.2461,680.8491,0.5,0.3,"[3,1,2]",0.297639248,stimuli/card_100_transparent.png,100,13,0,13,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,,,,,,,,,,,,,,,,,,,,,1,3,,,681.6477,14,left,0.9729,682.6329,0.5,0.3,"[3,1,2]",0.845959394,stimuli/card_0_transparent.png,0,14,0,14,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.4319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1110],0,0,0,0,1
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",688.433,0,left,0.6099,689.0631,1,0.3,"[1,2,3]",0.135423964,stimuli/card_10_transparent.png,10,0,0,0,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,2,5,,,690.3646,1,up,1.8805,692.2617,0.5,0.3,"[1,2,3]",0.918898934,stimuli/card_10_transparent.png,10,1,0,1,0,1,,,,,,
,,,,,B,2024-08-15_14h30.15.052,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,2,5,,,693.0631,2,right,0.911,693.9952,1,0.3,"[1,2,3]",0.983094393,stimuli/card_0_transparent.png,0,2,0,2,0,1,,,,,,
