key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,group_id,path_id,date,expName,psychopyVersion,OS,frameRate,study_id,session_id,prolific_pid,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,309.0943,13,0.2137,,up,1.5,,stimuli/card_100_transparent.png,1030,100,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,311.1299,14,0.2627,,up,1.5,,stimuli/card_100_transparent.png,1130,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.2126,,,318.2183,space,3.0761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.3186,1,"[0,1,2,3,4,5,6,7,8,9]",space,9.5601,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,1,"[12,15]","[[2,1,3],[2,3,1]]",330.9122,0,up,1.6672,,1.5,0.3,"[2,1,3]",0.036718796,stimuli/card_0_transparent.png,0,0,0,0,0,1,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,1,,,334.407,1,left,1.5842,,1.5,0.3,"[2,1,3]",0.334514498,stimuli/card_10_transparent.png,10,1,0,1,0,1,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,1,,,337.8073,2,right,1.3444,,1,0.3,"[2,1,3]",0.622747015,stimuli/card_0_transparent.png,0,2,0,2,0,1,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,1,1,,,340.4757,3,left,1.1348,,0.5,0.3,"[2,1,3]",0.92186371,stimuli/card_10_transparent.png,10,3,0,3,0,1,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,1,1,,,342.4258,4,up,1.3796,,1,0.3,"[2,1,3]",0.820945098,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,
,,,,1A,A,2024-02-16_14h28.10.002,Slot Machine Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,1,1,,,345.1285,5,up,0.5958,,0.5,0.3,"[2,1,3]",0.041492176,stimuli/card_0_transparent.png,0,5,0,5,0,1,,,,,
