key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,block_reward,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,block_reward.length,block_reward_all,reward_amount,date_end_task
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,256.4489,14,0.0091,,up,1,,stimuli/card_100_transparent.png,770,100,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.2668,"[290,770]",,,263.2716,space,12.1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.4107,2,"[2,4,8,0,1,3,9,6,8,5]",space,0.4422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,3,"[15,15]","[[3,1,2],[3,1,2]]",275.8812,0,left,0.5756,,0.5,0.3,"[3,1,2]",0.352861894,stimuli/card_0_transparent.png,0,0,0,0,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,3,,,277.7778,1,up,0.0012,,1,0.3,"[3,1,2]",0.783130329,stimuli/card_100_transparent.png,100,1,0,1,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,1,3,,,279.595,2,up,0.0829,,1,0.3,"[3,1,2]",0.355380192,stimuli/card_100_transparent.png,100,2,0,2,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,1,3,,,281.4866,3,up,0.0432,,1.5,0.3,"[3,1,2]",0.506831781,stimuli/card_100_transparent.png,100,3,0,3,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,1,3,,,283.8315,4,up,0.3341,,1.5,0.3,"[3,1,2]",0.766643828,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,1,3,,,286.4822,5,up,0.5773,,1.5,0.3,"[3,1,2]",0.659856028,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,1,3,,,289.3629,6,up,0.5515,,1.5,0.3,"[3,1,2]",0.315000096,stimuli/card_100_transparent.png,100,6,0,6,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,1,3,,,292.2313,7,up,0.1442,,1.5,0.3,"[3,1,2]",0.64115253,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,1,3,,,294.6825,8,up,1.1262,,0.5,0.3,"[3,1,2]",0.559878731,stimuli/card_100_transparent.png,100,8,0,8,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,,,,,,,,,,,,,,,,,,,,1,3,,,297.1176,9,up,0.3373,,1,0.3,"[3,1,2]",0.101745255,stimuli/card_10_transparent.png,10,9,0,9,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,,1,3,,,299.2736,10,up,0.0168,,0.5,0.3,"[3,1,2]",0.915316696,stimuli/card_100_transparent.png,100,10,0,10,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,,,,,,,,,,,,,,,,,,,,,,1,3,,,300.6233,11,up,0.0206,,1.5,0.3,"[3,1,2]",0.693461147,stimuli/card_100_transparent.png,100,11,0,11,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,,,,,,,,,,,1,3,,,302.959,12,up,0.1479,,0.5,0.3,"[3,1,2]",0.104936686,stimuli/card_10_transparent.png,10,12,0,12,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,,,,,,,,,,,,,,,,,,,,,,1,3,,,304.4275,13,up,0.0698,,0.5,0.3,"[3,1,2]",0.95891224,stimuli/card_100_transparent.png,100,13,0,13,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,1220,,,,,,,,,,,,,,,,,,,,,,1,3,,,305.8268,14,up,0.0774,,1.5,0.3,"[3,1,2]",0.693271231,stimuli/card_100_transparent.png,100,14,0,14,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.2283,"[290,770,1220]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",313.2347,0,right,0.2149,,1.5,0.3,"[1,2,3]",0.977018564,stimuli/card_0_transparent.png,0,0,0,0,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,2,5,,,315.7828,1,right,0.0303,,0.5,0.3,"[1,2,3]",0.480482436,stimuli/card_0_transparent.png,0,1,0,1,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,5,,,317.1328,2,right,0.0427,,1,0.3,"[1,2,3]",0.031381025,stimuli/card_100_transparent.png,100,2,0,2,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,5,,,318.9845,3,right,0.1355,,1,0.3,"[1,2,3]",0.371129891,stimuli/card_0_transparent.png,0,3,0,3,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,2,5,,,320.9358,4,right,0.1338,,0.5,0.3,"[1,2,3]",0.01045955,stimuli/card_100_transparent.png,100,4,0,4,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,2,5,,,322.3862,5,right,0.1263,,1,0.3,"[3,1,2]",0.694636216,stimuli/card_10_transparent.png,10,5,0,5,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,2,5,,,324.3369,6,right,0.6018,,1.5,0.3,"[3,1,2]",0.475467214,stimuli/card_10_transparent.png,10,6,0,6,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,2,5,,,327.2559,7,right,0.0924,,0.5,0.3,"[3,1,2]",0.86334594,stimuli/card_10_transparent.png,10,7,0,7,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,2,5,,,328.69,8,right,0.0129,,1.5,0.3,"[3,1,2]",0.853082776,stimuli/card_10_transparent.png,10,8,0,8,0,1,,,,,,,,,
,,,,ember,A,2024-05-08_14h16.38.759,Slot Machine Game,2023.1.3,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,2,5,,,331.0413,9,right,0.097,,0.5,0.3,"[3,1,2]",0.563427837,stimuli/card_10_transparent.png,10,9,0,9,0,1,,,,,,,,,
