participant,date,expName,psychopyVersion,OS,frameRate,key_resp_practice_instruction.started,key_resp_practice_instruction.keys,key_resp_practice_instruction.rt,key_resp_practice_instruction.duration,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_practice_reset.keys,key_resp_practice_reset.rt,key_resp_practice_reset.duration,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,reward_seq,reward_Img,Cuml_rew,currentTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,conditions,currentCondition,conditionsAfterRemoval,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cuml_rew,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,text_block_break.started,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7033,right,0.0779,,1.5,"[3,2,1]",0.008137135,stimuli/card_0_transparent.png,450,0,13,0,13,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.6048,right,0.0811,,0.5,"[3,2,1]",0.734470906,stimuli/card_100_transparent.png,550,100,14,0,14,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.503,1,0,1,0,1
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[15,15],[7,15],[5,15],[4,10,15],[9,15],[11,15],[8,15],[10,15]]","[15,15]","[[7,15],[5,15],[4,10,15],[9,15],[11,15],[8,15],[10,15]]",234.5063,right,1.4928,,1.5,"[3,1,2]",0.467121252,stimuli/card_10_transparent.png,10,10,0,0,0,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.8257,up,0.317,,1,"[3,1,2]",0.024084786,stimuli/card_0_transparent.png,10,0,1,0,1,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.4608,left,0.217,,1,"[3,1,2]",0.87790698,stimuli/card_0_transparent.png,10,0,2,0,2,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.9951,right,0.4248,,1.5,"[3,1,2]",0.662595109,stimuli/card_10_transparent.png,20,10,3,0,3,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.2286,up,0.3139,,0.5,"[3,1,2]",0.458119466,stimuli/card_100_transparent.png,120,100,4,0,4,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.3595,up,0.5126,,1.5,"[3,1,2]",0.758387848,stimuli/card_100_transparent.png,220,100,5,0,5,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.6972,up,0.5012,,0.5,"[3,1,2]",0.684058478,stimuli/card_100_transparent.png,320,100,6,0,6,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0147,up,0.4286,,0.5,"[3,1,2]",0.071941092,stimuli/card_0_transparent.png,320,0,7,0,7,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.2663,up,0.3803,,1.5,"[3,1,2]",0.180384937,stimuli/card_10_transparent.png,330,10,8,0,8,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.4665,up,0.5759,,1,"[3,1,2]",0.119783674,stimuli/card_10_transparent.png,340,10,9,0,9,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.3649,up,0.581,,0.5,"[3,1,2]",0.290173339,stimuli/card_100_transparent.png,440,100,10,0,10,0,1,,,,,,
,2023-08-31_11h00.46.215,slotMachine_updated,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.757,up,0.7777,,1.5,"[3,1,2]",0.077980587,stimuli/card_0_transparent.png,440,0,11,0,11,0,1,,,,,,
