participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1.started,key_resp_instruction1.keys,key_resp_instruction1.rt,key_resp_instruction1.duration,key_resp_instruction2.started,key_resp_instruction2.keys,key_resp_instruction2.rt,key_resp_instruction2.duration,key_resp_instruction3.started,key_resp_instruction3.keys,key_resp_instruction3.rt,key_resp_instruction3.duration,practiceCondition,practice_reward_seqs,key_resp_practice_slots.started,key_resp_practice_slots.keys,key_resp_practice_slots.rt,key_resp_practice_slots.duration,presentationInterval,"practice_reward_seq: 2,1,3",reward_Img,Cuml_rew,currentPracticeTrialReward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",text_block_break.started,practice_block.thisRepN,practice_block.thisTrialN,practice_block.thisN,practice_block.thisIndex,practice_block.ran,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",key_resp_practice_end.started,key_resp_practice_end.keys,key_resp_practice_end.rt,key_resp_practice_end.duration,text_main_instruction.started,BlockCondition,BlockOrderIndices,key_resp_main_instruction.started,key_resp_main_instruction.keys,key_resp_main_instruction.rt,key_resp_main_instruction.duration,currentCondition,main_reward_seqs,key_resp_slots_presentation.started,key_resp_slots_presentation.keys,key_resp_slots_presentation.rt,key_resp_slots_presentation.duration,Main_presentationInterval,rewardPresentationTime,Main_reward_seq,Random value generated,Main_reward_Img,Main_Cumul_Reward,Main_currentTrialReward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0001,up,0.4271,,1,0.3,"[2,3,1]",0.93155498,stimuli/card_0_transparent.png,930,0,14,0,14,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.7444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,2,1]]",258.7387,right,1.5078,,1,0.3,"[1,3,2]",0.088542744,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.569,right,0.418,,0.5,0.3,"[1,3,2]",0.497543968,stimuli/card_10_transparent.png,10,10,1,0,1,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.8039,right,0.4668,,1.5,0.3,"[1,3,2]",0.251457557,stimuli/card_10_transparent.png,20,10,2,0,2,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.1063,right,0.7342,0.0001,1.5,0.3,"[1,3,2]",0.439377188,stimuli/card_10_transparent.png,30,10,3,0,3,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.6753,right,0.6208,,1.5,0.3,"[1,3,2]",0.376305205,stimuli/card_10_transparent.png,40,10,4,0,4,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.1109,left,1.5614,,1,0.3,"[1,3,2]",0.833064574,stimuli/card_100_transparent.png,140,100,5,0,5,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.9971,left,0.4307,,0.5,0.3,"[3,2,1]",0.631549871,stimuli/card_0_transparent.png,140,0,6,0,6,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.2486,left,0.4704,,0.5,0.3,"[3,2,1]",0.970264848,stimuli/card_0_transparent.png,140,0,7,0,7,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.5546,up,0.6429,,1.5,0.3,"[3,2,1]",0.146471995,stimuli/card_100_transparent.png,240,100,8,0,8,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.019,up,0.3501,,1,0.3,"[3,2,1]",0.480214624,stimuli/card_10_transparent.png,250,10,9,0,9,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.7038,up,0.6179,,1,0.3,"[3,2,1]",0.663921275,stimuli/card_10_transparent.png,260,10,10,0,10,0,1,,,,,
Vincenzo Fiore,2023-09-28_12h57.26.541,slotMachine_updated,2023.1.3,Win32,59.46010227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.6558,up,0.3557,,0.5,0.3,"[3,2,1]",0.706485418,stimuli/card_10_transparent.png,270,10,11,0,11,0,1,,,,,
