key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,study_id,path_id,date,expName,psychopyVersion,OS,frameRate,subject_id,session_id,prolific_id,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_resp_duration,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,1,3,,,358.0275,4,up,0.197,,1,0.3,"[3,1,2]",0.194570391,stimuli/card_10_transparent.png,10,4,0,4,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,1,3,,,359.5409,5,up,0.0011,,0.5,0.3,"[3,1,2]",0.154936096,stimuli/card_10_transparent.png,10,5,0,5,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,1,3,,,360.3704,6,up,0.0634,,0.5,0.3,"[3,1,2]",0.405030532,stimuli/card_100_transparent.png,100,6,0,6,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,1,3,,,361.2534,7,up,0.0039,,0.5,0.3,"[3,1,2]",0.570801967,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,530,,,,,,,,,,,,,,,,,,,,,1,3,,,362.0659,8,up,0.175,,1,0.3,"[3,1,2]",0.152683117,stimuli/card_10_transparent.png,10,8,0,8,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,1,3,,,363.5492,9,up,0.0915,,1.5,0.3,"[3,1,2]",0.497625078,stimuli/card_100_transparent.png,100,9,0,9,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,1,3,,,365.4472,10,up,0.0012,,1.5,0.3,"[3,1,2]",0.017751674,stimuli/card_0_transparent.png,0,10,0,10,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,640,,,,,,,,,,,,,,,,,,,,,1,3,,,367.2603,11,up,0.1776,,1,0.3,"[3,1,2]",0.137837446,stimuli/card_10_transparent.png,10,11,0,11,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,1,3,,,368.7448,12,right,0.0012,,0.5,0.3,"[3,1,2]",0.625852908,stimuli/card_10_transparent.png,10,12,0,12,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,1,3,,,369.5611,13,right,0.014,,1.5,0.3,"[3,1,2]",0.200195486,stimuli/card_10_transparent.png,10,13,0,13,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,670,,,,,,,,,,,,,,,,,,,,,1,3,,,371.3851,14,right,0.2681,,1.5,0.3,"[3,1,2]",0.667150072,stimuli/card_10_transparent.png,10,14,0,14,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.4649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",378.4615,0,up,0.4566,,1.5,0.3,"[1,2,3]",0.04700772,stimuli/card_0_transparent.png,0,0,0,0,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,2,5,,,380.7198,1,up,0.0881,,1.5,0.3,"[1,2,3]",0.144576302,stimuli/card_100_transparent.png,100,1,0,1,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,2,5,,,382.6151,2,up,0.1379,,1,0.3,"[1,2,3]",0.170947037,stimuli/card_100_transparent.png,100,2,0,2,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,2,5,,,384.0662,3,up,0.0884,,1,0.3,"[1,2,3]",0.476585492,stimuli/card_10_transparent.png,10,3,0,3,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,2,5,,,385.463,4,up,0.1698,,1,0.3,"[1,2,3]",0.01257908,stimuli/card_0_transparent.png,0,4,0,4,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,2,5,,,386.9456,5,up,0.0974,,0.5,0.3,"[3,1,2]",0.377481483,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,2,5,,,387.844,6,up,0.0922,,1,0.3,"[3,1,2]",0.756677653,stimuli/card_100_transparent.png,100,6,0,6,0,1,,,,,
,,,,1C,B,2024-01-02_10h54.37.394,Slot Machine Game,2023.1.3,MacIntel,60.06006006,sid,session_id,pid,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,2,5,,,389.2441,7,up,0.206,,1,0.3,"[3,1,2]",0.014858321,stimuli/card_0_transparent.png,0,7,0,7,0,1,,,,,
