key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,practice_reward_seq,reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,block_break_started,practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,mainConditions,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,1,3,,,332.2065,1,,,,1,0.3,"[3,1,2]",0.017460248,stimuli/card_100_transparent.png,0,1,0,1,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,337.7223,2,right,0.833,338.5833,1.5,0.3,"[3,1,2]",0.402903505,stimuli/card_10_transparent.png,10,2,0,2,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,340.3822,3,up,0.6708,341.0808,1.5,0.3,"[3,1,2]",0.000418143,stimuli/card_0_transparent.png,0,3,0,3,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,342.8801,4,left,0.5067,343.4118,1,0.3,"[3,1,2]",0.727700851,stimuli/card_0_transparent.png,0,4,0,4,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,344.7109,5,,,,1,0.3,"[3,1,2]",0.152001831,stimuli/card_0_transparent.png,0,5,0,5,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,350.2253,6,,,,1,0.3,"[3,1,2]",0.218927456,stimuli/card_0_transparent.png,0,6,0,6,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,355.7375,7,,,,1,0.3,"[3,1,2]",0.105744164,stimuli/card_0_transparent.png,0,7,0,7,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,361.2466,8,,,,0.5,0.3,"[3,1,2]",0.402840426,stimuli/card_0_transparent.png,0,8,0,8,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,366.7586,9,,,,0.5,0.3,"[3,1,2]",0.840780927,stimuli/card_0_transparent.png,0,9,0,9,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,372.2703,10,,,,0.5,0.3,"[3,1,2]",0.457268105,stimuli/card_0_transparent.png,0,10,0,10,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,377.7829,11,,,,1.5,0.3,"[3,1,2]",0.149908176,stimuli/card_0_transparent.png,0,11,0,11,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,383.2939,12,,,,1.5,0.3,"[3,1,2]",0.79246462,stimuli/card_0_transparent.png,0,12,0,12,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,388.8054,13,,,,0.5,0.3,"[3,1,2]",0.661623854,stimuli/card_0_transparent.png,0,13,0,13,0,1,,,,,,
,,,,mainrewardseqtest,C,2024-12-19_19h19.25.164,Slot Machine Game,2023.1.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,1,3,,,394.3154,14,,,,1,0.3,"[3,1,2]",0.90288686,stimuli/card_0_transparent.png,0,14,0,14,0,1,,,,,,
