key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2",practice_end_time,practice_end_keys,practice_end_rt,practice_end_duration,main_instruction_text_started,block_condition,block_order_indices,main_instruction_keys,main_instruction_rt,main_instruction_duration,block_number,block_assignment,current_condition,main_reward_seqs,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_keypress_time,main_presentationInterval,reward_presentation_time,main_reward_seq,reward_rand_val,main_reward_img,current_reward,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,block_reward,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,1,1,,,454.9448,5,up,0.5502,455.5283,0.5,0.3,"[2,1,3]",0.555921458,stimuli/card_100_transparent.png,100,5,0,5,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,,,1,1,,,456.3284,6,up,0.5991,456.9611,1.5,0.3,"[2,1,3]",0.474407572,stimuli/card_100_transparent.png,100,6,0,6,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,1,1,,,458.7611,7,up,0.6002,459.394,0.5,0.3,"[2,1,3]",0.284783033,stimuli/card_100_transparent.png,100,7,0,7,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,1,1,,,460.1927,8,up,0.8664,461.0776,1.5,0.3,"[2,1,3]",0.440472474,stimuli/card_100_transparent.png,100,8,0,8,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,710,,,,,,,,,,,,,,,,,,,,,1,1,,,462.8763,9,up,1.0045,463.909,1.5,0.3,"[2,1,3]",0.522542848,stimuli/card_100_transparent.png,100,9,0,9,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,,,,,,,,,,,,,,,,,,,1,1,,,465.7099,10,up,0.7237,466.4582,1,0.3,"[2,1,3]",0.607458303,stimuli/card_100_transparent.png,100,10,0,10,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,1,1,,,467.7593,11,up,0.7605,468.5409,1,0.3,"[2,1,3]",0.708578652,stimuli/card_100_transparent.png,100,11,0,11,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,1,1,,,469.842,12,up,1.3349,471.2068,0.5,0.3,"[2,3,1]",0.50272542,stimuli/card_0_transparent.png,0,12,0,12,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,1,1,,,472.0079,13,up,0.5837,472.6248,0.5,0.3,"[2,3,1]",0.264990064,stimuli/card_0_transparent.png,0,13,0,13,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,910,,,,,,,,,,,,,,,,,,,,,1,1,,,473.4249,14,up,2.9469,476.4061,0.5,0.3,"[2,3,1]",0.746234265,stimuli/card_0_transparent.png,0,14,0,14,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[910],0,0,0,0,1
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,"[5,15]","[[1,2,3],[3,1,2]]",482.2063,0,,,,1,0.3,,,,,0,0,0,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,487.7236,1,,,,1.5,0.3,,,,,1,0,1,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,493.2354,2,,,,1.5,0.3,,,,,2,0,2,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,498.7497,3,,,,1.5,0.3,,,,,3,0,3,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,504.2654,4,,,,0.5,0.3,,,,,4,0,4,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,509.782,5,,,,0.5,0.3,,,,,5,0,5,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,515.2959,6,,,,1,0.3,,,,,6,0,6,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,520.8119,7,,,,1.5,0.3,,,,,7,0,7,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,526.3254,8,,,,0.5,0.3,,,,,8,0,8,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,531.8419,9,,,,0.5,0.3,,,,,9,0,9,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,537.3555,10,,,,0.5,0.3,,,,,10,0,10,0,1,,,,,,
,,,,emberlasttest,B,2024-08-15_15h30.12.753,Slot Machine Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,702.9648,11,,,,1.5,0.3,,,,,11,0,11,0,1,,,,,,
